Kasten Chase Applied                              # Kasten Chase Applied Research
GCD Hard GmbH                                     # GCD Hard Software GmbH
Siemens Com CPE                                   # Siemens Com CPE Devices
Andrew Power Amplifier                            # Andrew Power Amplifier Group
und Entwicklung GmbH                              # Systemanalyse und Entwicklung GmbH
Benchmark Romania SRL                             # Benchmark Electronics Romania SRL
Motorola Mobility Lenovo                          # Motorola Mobility Lenovo Company
Aplicaciones Quasar AEQ                           # Aplicaciones Electronicas Quasar AEQ
Rocon PLC Centre                                  # Rocon PLC Research Centre
Tianjin Golden Pentagon                           # Tianjin Golden Pentagon Electronics
Master Center Kista                               # Master Industrialization Center Kista
Crown Audio Harmanm                               # Crown Audio Harmanm International
IBR Technik Gmbh                                  # IBR Computer Technik Gmbh
Erwin Peters GmbH                                 # Erwin Peters Systemtechnik GmbH
Thales Avionics InFlight                          # Thales Avionics InFlight Systems
Jiangsu Toppower Automotive                       # Jiangsu Toppower Automotive Electronics
Systronik Elektronik Gmbh                         # Systronik Elektronik Systemtechnik Gmbh
IBM Fujisawa Mtd                                  # IBM Japan Fujisawa Mtd
Emerson Climate GmbH                              # Emerson Climate Technologies GmbH
Genus Power Infrastructures                       # Genus Power Infrastructures Limited
Jger Metechnik GmbH                               # Jger Computergesteuerte Metechnik GmbH
Huth Elektronik Gmbh                              # Huth Elektronik Systeme Gmbh
LSB Broadcast GmbH                                # LSB Broadcast Technologies GmbH
Olivetti SPA olteco                               # Olivetti Telecomm SPA olteco
PEP Modular Gmbh                                  # PEP Modular Computers Gmbh
Jinghan Weighing Apparatus                        # Shanghai Jinghan Weighing Apparatus
DLI Branch office                                 # DLI Taiwan Branch office
BEG Brueck GmbH                                   # BEG Brueck Electronic GmbH
Wincor Nixdorf GmbH                               # Wincor Nixdorf International GmbH
Xiamen Overseas Chinese                           # Xiamen Overseas Chinese Electronic
Bosch Innovations GmbH                            # Bosch Software Innovations GmbH
Pascom Kommunikations GmbH                        # Pascom Kommunikations systeme GmbH
FAG Services GmbH                                 # FAG Industrial Services GmbH
ZPM Comercio Ltda                                 # ZPM Industria Comercio Ltda
Kuka Welding Robots                               # Kuka Welding Systems Robots
Soft Sdn Bhd                                      # Soft Device Sdn Bhd
Chung Chen Yeh                                    # Chung Chen Yeh Enterprise
