Decatur                                           # Decatur Electronics
Australiacssc                                     # Telecom Australiacssc
Datentechnik Gmbh                                 # Datentechnik Gmbh
WatchGuard                                        # WatchGuard Technologies
Leadtek                                           # Leadtek Research
CON                                               # CON Computer
Elpro                                             # Elpro Technologies
DigiRose                                          # DigiRose Technology
Tplink                                            # Tplink Technologies
Aspen                                             # Aspen Networks
Sampo                                             # Sampo Technology
Spinnaker                                         # Spinnaker Networks
Lorica                                            # Lorica Solutions
BMC                                               # BMC Software
Firich                                            # Firich Enterprises
Inhon                                             # Inhon International
Hitech                                            # Advanced Hitech
Addtron                                           # Addtron Technology
RTC                                               # RTC Industries
Aviation                                          # Aviation System
Doremi                                            # Doremi Labs
ESG                                               # ESG Solutions
CyberTAN                                          # CyberTAN Technology
Pravis                                            # Pravis Systemsltd
Wiscom                                            # Wiscom System
Devline                                           # Devline Limited
Rivertree                                         # Rivertree Networks
Proxim                                            # Proxim Wireless
Raytheon Esystems                                 # Raytheon Esystems
Wiline                                            # Wiline Networks
Totus                                             # Totus Solutions
Act                                               # Act System
Systembase Limited                                # Systembase Limited
Dicna                                             # Dicna Control
Dycon                                             # Dycon Limited
Tera                                              # Tera Microsystems
Orient                                            # Orient Telecom
Electric Company                                  # Electric Company
Gridpoint                                         # Gridpoint Systems
Process                                           # Process Control
Fast                                              # Fast Systems
Procket                                           # Procket Networks
xstar                                             # xstar networks
Pertronic                                         # Pertronic Industries
SamJi                                             # SamJi Electronics
OptiMight                                         # OptiMight Communications
Labris Networks                                   # Labris Networks
TurboComm Tech                                    # TurboComm Tech
SSI                                               # SSI Computer
Kimin                                             # Kimin Electronic
Davit                                             # Davit Solution
Futronic                                          # Futronic Technology
Shinsung Deltatech                                # Shinsung Deltatech
Newbury                                           # Newbury Networks
SPG                                               # SPG Controls
Arcadia                                           # Arcadia Networks
Advanced Communications                           # Advanced Communications
Tremon                                            # Tremon Enterprises
Aiji                                              # Aiji System
Commande                                          # Commande Technology
2000                                              # Group 2000
Xtera                                             # Xtera Communications
Category                                          # Category Solutions
Kestrel                                           # Kestrel Solutions
Pleiades                                          # Pleiades Communications
Honda                                             # Honda Electron
Imci                                              # Imci Technologies
GNP                                               # GNP Computers
DFT                                               # DFT SystemLtd
TAC                                               # TAC Systems
Gembird                                           # Gembird Europe
Freestyle                                         # Freestyle Technology
YoungWoo                                          # YoungWoo Telecom
Tsukamoto                                         # Wireless Tsukamoto
Double                                            # Double Electronics
Sheba                                             # Sheba Systems
Atrend                                            # Atrend Technology
Integrated                                        # Integrated Network
Xiamen Intretech                                  # Xiamen Intretech
Korenix                                           # Korenix Technologies
Northern Digital                                  # Northern Digital
Lapis                                             # Lapis Technologies
VSN                                               # VSN Systemen
Platypus                                          # Platypus Technology
Sane                                              # Sane System
Danam                                             # Danam Communications
Measy                                             # Measy Electronics
Interface                                         # Interface Systems
InfoGear                                          # InfoGear Technology
Planet                                            # Planet System
Microtime                                         # Microtime Computer
Empower                                           # Empower TechnologiesCanada
Nexcomm                                           # Nexcomm Systems
Operations                                        # Tellabs Operations
Tools                                             # Network Tools
Metera                                            # Metera Networks
ITC                                               # ITC Networks
Gawell                                            # Gawell Technologies
Diversified                                       # Diversified Technology
Acteon                                            # Acteon Group
CMS                                               # CMS Technologies
Acbel Polytech                                    # Acbel Polytech
Itran                                             # Itran Communications
Document                                          # Document Technologies
Svec                                              # Svec Computer
Cableware                                         # Cableware Electronics
NRadio                                            # NRadio Technologies
Digitra                                           # Digitra Systems
Evergreen                                         # Evergreen Systems
3UP                                               # 3UP Systems
Unex                                              # Unex Technology
YMax                                              # YMax Telecom
Generation                                        # Computer Generation
Raonet                                            # Raonet Systems
Ping                                              # Ping Communication
Axis                                              # Axis Communications
Hoseo                                             # Hoseo Telecom
Well                                              # Well Communication
Performance                                       # Performance Technologies
Wearsafe                                          # Wearsafe Labs
YSTen                                             # YSTen Technology
